row,narrative,label
5007,"In XXXX of 2019, Macy 's put a late payment on my account. This was an auto bill pay issue and Macy 's recognized this on their end and said they'd get it removed from my credit report. It's been several months since I submitted my complaint, however the late payment has still not been removed. It's been reported by all three major bureau 's and has greatly lowered my score.",
5009,The company that purchased my home equity load which was discharged through bankruptcy six years ago has contacted me and told me that my debt was satisfied through some government program and that they were sending documents to city register to remove the lien from my property. I had to sign some Dodd Frank form and forward it to them. I did that. This was back in the beginning of XXXX. Since then I have checking acris.nyc.gov website to see if the lien was removed but nothing happens. I have contacted the company numerous times and each time they are telling me that the paperwork has been submitted but nothing happens. I went down to the city department that handles the liens and they told me that it takes 5 weeks to process a record. It has been way longer and I am afraid that this is some kind of scam.,
5017,"See attached forensic mortgage analysis. This is a good example of Mortgage Fraud by a Debt collector pretending to be a mortgage company. This is fixing to end up in Federal Court, Read the Attachment. Color of Law Crimes, Civil Rights Violations RICO, Racketeering. These companies destroyed my family broke apart with the stress, after 25 years. I was put in Default the COVID deferment, they were fined but I never saw a XXXX. The revolution was fought by We The People to gain sovereignty of our land from the British, and our Great Western Experiment, the only one ever in the History of man. Where you did not have to be born into a certain bloodline to not be a XXXX XXXX XXXX. Unfortunately that didn't last long, the American Revolution part 2 ( the civil war ) and we lost. The corporation Started in 1871 in the States called the XXXX XXXX  XXXX XXXX  XXXX XXXX, by the King of XXXX... The truth is there was a Federal Lien when I purchased the place and looks like the title company is about to be in Federal Court also. there is a Federal Lien on every ones property. We all can sue the title companies. This is a fact. read the attachments. XXXX XXXX XXXX XXXX, XXXX, XXXX, XXXX, XXXX XXXX XXXX. XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, has no Oath of Office, Ruled against me in these proceedings. case # XXXX,",
5018,"On XXXX XXXX,2017 I saw in TV the commercial of Wetern Union where they offered money transfers in just minutes, and I decided to tried it.I download the app in my phone and I did the transfer for a fee of $ XXXX.What happenned was that my Mom have n't received the money yet, and she has {$0.00} in her bank account, so she ca n't even get medicine or food.How is it possible that they advertise a service that has nothing to do with the reality? My Mom and I were worried from the first day, but we said let 's wait because maybe for being first time users they verified the accounts and the information, but today I checked the bank account and it was still empty.I called them, and they said that the money will be available on XX/XX/XXXX, and they ca n't do anything to help me, just cancel the transaction and wait for the same amount of days to be effective.I explained to them the necessity of my Mom for having the money, and I asked the help of a Supervisor, the person with whom I was talking told me that it is not possible for them to change the transfer once it was made, so I feel very sad and very frustrated because they treated me without any kind of compassion, they simply do n't care.It 's a shame that in this great country things work so bad.",
5019,"Complaint : Credit Balance Refund Repayment VISA Account : XXXX with Elan Financial Service, marketed as XXXX VISA and linked with my XXXX XXXX XXXX XXXX account XXXX XXXX XXXX credit card business partner Elan Financial Services has ignored my specific written instructions, made pursuant to Regulation Z, to directly refund my credit balance to me. Instead, {$47000.00} was transferred to some other financial institution and is now missing. 

In my correspondence with Elan on XX/XX/XXXX, which Elan acknowledged the receipt of in its XX/XX/XXXX response, I stated that : Pursuant to 12 CFR Part 1026 ( 2 ) ( Regulation Z ), I hereby request in writing that the credit balance on my account be refunded to me. Subsection 2 requires : Refund any part of the remaining credit balance within seven business days from receipt of a written request from the consumer ; As of XX/XX/XXXX, however, Elan has reduced my credit balance from my account but is now unable identify where these funds are. I am also unable to find any financial account of mine to which these funds have been credited. I have further contacted XXXX XXXX to resolve this, but they referred the matter to Elan. 
Since XX/XX/XXXX, I have spent more than several hours on multiple phone calls with Elan without any satisfaction. Most recently I was told by an Elan customer service representative they are researching the matter. 

In short, nearly {$48000.00} of my funds can not be accounted for by these firms. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, Md XXXX XXXX",
5021,I am completely disgusted on the lack of communication and attention this file has received. I called today to find out if the value is in as it was completed on XXXX XXXX per the listing agent and I was told by customer services there was just a note in the system as of XXXX XXXX about loan modification. The opt out for the loan mod was even confirmed received by and confirmed by Supervisor XXXX XXXX on XXXX XXXX and XXXX XXXX stated on XXXX XXXX the file was assigned a short sale negotiator. I have had ZERO communications for said negotiator and this file has experienced one delay after another and it is completely unacceptable. The offer and complete packet were submitted over 80 days ago and there has been zero progress. It takes 5 outgoing emails to XXXX XXXX to receive a one sentence vague response. There is no excuse for the level of service that this file has endured.,
5023,"Hello, I am disputing a frivolous collection account that is appearing with the credit bureaus from the company Credit Collection Services. I have sent a few letters ( 5 ) to be exact to the frivolous company and the credit bureaus. The bureaus have failed me and violated FCRA. My most recent letter dated XX/XX/15 ask the said company to validate this irroneous said debt. Credit Collection Services sends a bill. A freaking bill anyone can type up a bill, this bill absolutely does NOT suffice. I specifically asked for a contract with my signature. This agency didnt provide the request validation per the FCRA within the 30 days. Violation to FCRA. Violations as me being a XXXX woman in America trying to survive. I am so shocked that these companies can place frivolous accounts and the bureaus allow this. I am demanding this account be removed in its entirety and completely from all the bureaus.",
5033,"I did own a XXXX XXXX, I had a XXXX  with a XXXX  which messed up the power steering system, I told a customer service representative about the issue, waiting for the insurance claim to come back so I could get the account up to date, the customer service representative didnt care, basically told me it wasnt their problem and I still had to pay the bill",
5035,"This is my final follow-up dispute regarding the inaccurate accounts you continue to report. 

Despite multiple disputes, you have failed to act in accordance with the law and continue to report this false and damaging information. It is important to highlight the inaccuracies, proving that your reporting is not only incompetent but also unfair, inconsistent, and harmful.",
5036,"Portfolio Recovery reported a debt on my credit report without any prior communication. I received no dunning letter, phone call, text, or email before they reported to the credit bureaus. 

This violates Section 1692g of the Fair Debt Collection Practices Act ( FDCPA ), which requires debt collectors to send a written notice within 5 days of initial communication.

This unauthorized reporting has negatively affected my credit score and financial standing.

I request that Portfolio Recovery remove this entry from my credit reports and provide proper validation of the debt as required by law.",
5037,"American Express has repeatedly denied my eligibility for the SCRA and XXXX as an XXXX XXXX service member. Beginning in XXXX of XXXX  I was charged with annual fees on my credit card. Since my initial membership with American Express Ive always been verified as SCRA and XXXX eligible, therefore I inquired about the charges and had no result with American Express. I have paperwork stating I am eligible from the Department of Defense. Theyve repeatedly rejected the paperwork and have said they would send an application on XXXX and XXXX XXXX. On XXXX XXXX, I inquired about my application and there was nothing submitted. 
This was the 5th application to submit for eligibility and American Express fails to submit the application after various phone calls and attempts via their chat support. Every time I bring up the difficulties they say I have to submit the application through them but Im always left with the same result. This is a blatant violation of the SCRA and XXXX.",
5039,Opened up a business account XXXX XXXX XXXX XXXX XXXX ) with Bank of America in XX/XX/year> and the nature of my business is that I XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX we had a large wire deposit from frontier title group for a closing that took place regarding a property that we sold and the account was perfectly fine. We then recently had another closing for $ XXXX from the SAME title company and according to the bank they are stating that the last wire was fraud or appears to be fraud. They didnt send any notification or warning regarding the account. So with that being said they decided to close the account and are refusing to release our funds. The account has over {$50000.00} in it and it is causing a huge hardship on not only my business but heaXXXX XXXX XXXX XXXX XXXX XXXX and need my funds to go through every day life. Ive expressed to this to branch and XXXX department and nothing seems to be working. They are claiming that the account will be closed on XX/XX/XXXX and can not wait till then to receive my money that Ive worked hard for. Please resolve this! Thank you.,
5040,"In XX/XX/2022 we received notice from XXXX XXXX  that out mortgage was being transferred to Mr Cooper. We contacted Mr Cooper in late XXXX since we had not received any paper work from them. We were told that no payment would be due in XXXX. In mid XXXX we received a letter dated XX/XX/2022 welcoming us. On XX/XX/XXXX I received a notice from Mr Cooper that payment was due on XX/XX/XXXX but it was for twice the amount normally due. Since we were told by Mr Cooper that no payment was due in XXXX, we used that money to pay down our credit card. My wife contacted Mr Cooper to resolve and was told that all they could due was a pandemic forbearance but that all the money would still be due on XX/XX/XXXX. I called the next day and spoke to a supervisor. I explained the situation. He admitted to employee incompetence and said he could fix it. He said he could move the payment from XXXX to the end of the loan. Unfortunately that did not happen. Today I called in again and was told moving the XXXX payment to the end of the loan was impossible.",
5052,"On or around XXXX I received a correspondence in the mail from RAGAN & RAGAN, P.C. regarding an alleged debt from a debt purchaser. I sent the following correspondence and RAGAN & RAGAN P.C., failed to provide the requested documentation, instead they continue harassing me, communicating with me despite not having permission to communicate with me, failed to provide required documentation pursuant to the fair debt collection practices act.",
5057,Wells Fargo has been taking my monthly payments and applying these payments to my Chapter XXXX. Why I Say as I am now in the hole due to their taking money that should have been applied as payments to my mortgage and not my ChapterXXXX.,
5061,"b'On XXXX XXXX XXXX, I sent XXXX  XXXX  through Wise to my recipient in XXXX (XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX). The transfer was processed and an XXXX  confirmation was issued, but the recipient never received the funds.\n\nI reported the problem to Wise multiple times (XXXX XXXX). Wise attempted a recall in XXXX, which failed in July because the recipient bank did not respond. On XXXX XXXX XXXX, Wise issued a final response letter claiming I admitted to providing incorrect recipient details. This is false  I never stated that, and the recipients bank instructions confirm the details were correct and match XXXX XXXXOn XXXX XXXX XXXX, I disputed their conclusion in writing and attached evidence (XXXX, Wise transaction screenshot, recipient banks official payment instructions). I requested (XXXX) a full payment trace, (XXXX) evidence of their claim that I admitted giving wrong details, and (3) escalation with their correspondent bank.\n\nWise has not provided the requested information. By XXXX XXXX XXXX, they had failed to respond to my dispute or produce any evidence.\n\nI am requesting CFPB assistance to require Wise to provide a complete trace of the funds, substantiate or correct their claim that I admitted providing wrong details, and resolve or refund the missing transfer.'",
5062,"Recently I was applying for a mortgage and discovered I had a {$200.00} collection for a PAID medical bill with XXXX XXXX CLIENT # XXXX, XXXX # XXXX. 

I paid {$200.00}. My insurance paid {$160.00}, therefore, the bill was overpaid. I was refunded {$160.00} AND XXXX put me in for collections with SCA Collections Inc -- XXXX NC. XXXX.",
5063,"I opened an account with Gemini trading app and bought a digital currency trough their app. They even took the money out of my bank account. And after taking the money out of my bank account, they just desactivated my account for no reason. I emailed them several times but no answer and I cant widraw my money either. I have {$1000.00} in the account.",
5065,"I am writing to express my concerns regarding Zelles handling of disputes. Particularly in light of the recent CFPB lawsuit, highlighting significant issues with the platform despite using Zelle numerous times and reporting discrepancies my financial institution and they failed to investigate my claims adequately they told me that recovering lost funds was impossible and the tracking these transactions was unfeasible. The CFPBs findings indicate that Zelle has not only neglected to protect customers but has also allowed repeat offenders to exploit the system leaving users vulnerable to scams. This lack of accountability and transparency is unacceptable and raises serious concerns about customer safety.",
5066,"IQ Data International Inc reported to the credit bureaus that I owe {$4400.00} to XXXX XXXX XXXX  TX. They did not contact me at all, and decided to report this under collections. I'm a victim of an identity theft and have never lived at that apartment. My lawyer has sent them a letter in XX/XX/2024 including my police report and Federal Trade Commission report. As of today my lawyer did not hear from them.",
5071,"A bankruptcy is on my report from all 3 bureaus, Experian, XXXX and XXXX and possibly XXXX XXXX ... .... Permission for the said bankruptcy was not authorized by the courts to place on my personal credit reports. Asked them to remove it and they response was "" VERIFIED ''",
