row,source_label,narrative
5000,Debt collection,"I am formally disputing the accuracy and validity of the collection charge-off account reported by your company and listed on my credit file. This account is being reported in a manner that violates the Fair Credit Reporting Act ( FCRA ) and is causing significant harm to my credit standing. 

( I never signing any documentation with my hand and letters giving any permissions CENTRAL PORTFOLIO CONTRO for used my personal information without my permission I was victim of identity theft ) Upon reviewing my credit reports, I have found inaccuracies and incomplete information regarding this alleged account, including but not limited to : Dates of first delinquency and charge-off are inconsistent. 
The balance, past due amount, and status are not accurately reported. 
The account does not reflect complete and verifiable records of the debt. 

Under FCRA 609 ( a ) and FCRA 611, I am requesting the following : 1. Full validation and documentation proving this account was lawfully established and charged off.

2. Copies of the original signed contract or agreement bearing my signature.

3. A detailed payment history, including how the balance and charge-off status were calculated.

If you can not provide complete and verifiable documentation within the legally required time frame, I demand that this account be deleted immediately from all credit reporting agencies as required by the FCRA.

Please note that continuing to report unverifiable or inaccurate information is a direct violation of federal law. I am prepared to escalate this matter by filing complaints with the Consumer Financial Protection Bureau ( CFPB ), the Federal Trade Commission ( FTC ), and my states Attorney General if necessary. 

I expect your investigation and response within the required 30 days. 

Sincerely, XXXX XXXX"
5001,Consumer loan,"I called XXXX XXXX immediately after I maid the overpayment Of {$3700.00}, Instead of {$370.00}. I also called my bank. Both institutions said the other institution could return the money. That was on XX/XX/XXXX. On XX/XX/XXXX I received an Email From XXXX saying the money would be returned within XXXX business days. I have called repeatedly and told the money would be arriving soon. I was told the case was being escalated but when I called today, XX/XX/XXXX, it has not been escalated but XXXX said he would now take care of it. I am XXXX XXXX XXXX and feel I am being treated without concern about my issue since they have the ability to stall me as long as they want without repercussions. Thank you for your help"
5002,Consumer loan,"I am filing this complaint because United Auto Credit is reporting a charged-off account on my credit report that is inaccurate, unverifiable, and possibly outdated, in violation of the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681e ( b ). This section requires that consumer reporting agencies and data furnishers follow reasonable procedures to ensure maximum possible accuracy of information.

I previously submitted written disputes to the credit reporting agencies ( Equifax, Experian, and TransUnion ) requesting verification and investigation of the United Auto Credit charge-off account. To date, no documentation or evidence has been provided by the furnisher to substantiate the reporting of this account. 

Despite the failure to verify, the account remains on my credit reports with negative and derogatory status, which is a direct violation of FCRA obligations. As the account is not verifiably accurate and no proof of the debt has been furnished to me, I am requesting that it be deleted from my credit file in compliance with XXXX5 U.S.C. 1681e ( b ).

I am including a copy of my dispute letter ( s ), current credit report showing the charge-off, and any related correspondence. Please investigate this matter and ensure the account is corrected or removed if it can not be verified to be fully accurate."
5003,Bank account or service,"I opened a business checking account with Capital One on XX/XX/XXXX, using a promotion code that offered a {$1000.00} bonus. The terms of the bonus clearly stated that I must maintain the minimum required end-of-day balance for at least 60 days during the first 90 days of account opening. I fully complied with this requirement : as of XX/XX/XXXX, my account balance exceeded {$30000.00} and has remained at or above that level ever since. 
However, on XX/XX/XXXX, I received a notice from Capital One that my account would be closed, with no prior warning or explanation. At this point, I had only 24 days remaining before qualifying for the {$1000.00} bonus. 
When I contacted Capital One customer service, I was told the closure was due to their not receiving the required Assumed Name document. However, I had already uploaded this document on XX/XX/XXXX through the secure link provided in XXXX Ones email. 
In order to get my money back in time, I closed that account today and got the check at the branch. I suspect that Capital One may be attempting to avoid paying the {$1000.00} promotional bonus. In addition, I am concerned about potential negative reporting to credit or banking reports such as XXXX XXXX XXXX ( XXXX )."
5004,Credit card,"On XX/XX/year>, I booked what was listed on XXXX as a two-bedroom rental near XXXX XXXX ( XXXX, FL ) for four adults and one child. Upon arrival, it was clearly not as described only one real bedroom existed, and the second bedroom was a converted common area connected to the kitchen with no door or privacy. This violates Florida XXXX XXXX XXXX, which defines the requirements for a legal bedroom. 
I contacted XXXX and the host immediately. The host first agreed to a refund if nothing was used ( I complied ), but after XXXX intervened, he reversed his decision. XXXX then denied any refund, citing the hosts cancellation policy, even though this was not a guest cancellation but a failure to provide the service as advertised under XXXX XXXX and Refund Policy. 
After I persisted, XXXX finally offered a {$200.00} one-time courtesy payment ( after previously saying no refund would be given ). I made clear this is not a final resolution, and I reserve my right to pursue a full refund through Klarna. 
This situation constitutes deceptive business practices under Section 5 of the FTC Act ( 15 U.S.C. 45 ) and the Florida Deceptive and Unfair Trade Practices Act ( Fla. Stat. 501.201 et seq. ). I was misled, left without proper lodging, and denied fair resolution. Im requesting a full refund and a review of XXXX handling for consumer protection."
5005,Consumer loan,gateway one lending repossed my car back in 2016 however i was never sent anything in the mail on how to get my car back nor did i ever receive a letter of it being sold and the balance that was owed now on my credit report it states sold charge off however they are still reporting it as a collection every month on my report
5006,Consumer loan,"I am filing this complaint against GRANDVIEW FINANCIAL SERVICES for their continued failure to comply with their obligations under the Fair Credit Reporting Act ( FCRA ), specifically 15 U.S.C. 1681s-2 ( b ). I originally disputed the accuracy of account number XXXX.... on XX/XX/year>. I sent a follow-up on XX/XX/year>, and a second follow-up. Despite multiple notices, GRANDVIEW FINANCIAL SERVICES has not provided any verification, investigation results, or documentation proving the accuracy of these accounts. They have ignored my requests and continue to report information that remains unverified. Under federal law, once a furnisher is notified of a dispute, they are required to conduct a reasonable investigation, review all relevant information, and correct or delete any inaccurate, incomplete, or unverifiable data. GRANDVIEW FINANCIAL SERVICES has failed to do any of these. Their lack of response and continued reporting of unverified information is a clear violation of the FCRA. 

GRANDVIEW FINANCIAL SERVICES XXXX"
5007,Credit card,"In XXXX of 2019, Macy 's put a late payment on my account. This was an auto bill pay issue and Macy 's recognized this on their end and said they'd get it removed from my credit report. It's been several months since I submitted my complaint, however the late payment has still not been removed. It's been reported by all three major bureau 's and has greatly lowered my score."
5008,Credit card,"For weeks, I 've asked this company to replace my card, as it has been compromised. Someone has made unauthorized charges on this card. XXXX charge was to a place called XXXX for {$4.00}. Others include XXXX XXXX and XXXX XXXX 's. I reported the card as COMPROMISED months ago, and requested a new card. Then, someone stole the card, and it is no longer in my possession. As a rule of thumb, I make small payments to all of my credit cards. Total Visa was no exception. In spite of this, they have been telling me that I 'm past due of {$43.00}. They are also reporting the account as delinquent, clearly billing me for unauthorized charges."
5009,Mortgage,The company that purchased my home equity load which was discharged through bankruptcy six years ago has contacted me and told me that my debt was satisfied through some government program and that they were sending documents to city register to remove the lien from my property. I had to sign some Dodd Frank form and forward it to them. I did that. This was back in the beginning of XXXX. Since then I have checking acris.nyc.gov website to see if the lien was removed but nothing happens. I have contacted the company numerous times and each time they are telling me that the paperwork has been submitted but nothing happens. I went down to the city department that handles the liens and they told me that it takes 5 weeks to process a record. It has been way longer and I am afraid that this is some kind of scam.
